TA DIFFUSER 0.020,,,,TA DIFFUSER 0.025,,,,TA DIFFUSER 0.030,,,,TA DIFFUSER 0.035,,,,TA QUADRANT 1,,TA QUADRANT 2,
X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,radius,inst_Vmag,radius,inst_Vmag
0.02,-0.028446577,0.034773738,3.551185658,0.025,-0.028568389,0.037962581,2.59426698,,,,,0.035,-0.029112013,0.045525277,1.491332262,0.023764493,5.474807711,0.023764493,5.607473799
0.02,-0.028473758,0.034795975,3.540432342,0.025,-0.028607651,0.037992217,2.562096292,,,,,0.035,-0.029175436,0.045565716,1.464581835,0.023967829,5.478428073,0.023967829,5.562000696
0.02,-0.02850094,0.034818211,3.529679027,0.025,-0.028646913,0.038021796,2.531706884,,,,,0.035,-0.029238859,0.045606304,1.427522641,0.02417084,5.476455512,0.02417084,5.531207433
0.02,-0.028528121,0.034840447,3.518989231,0.025,-0.028686175,0.038051376,2.501934757,,,,,0.035,-0.029302282,0.045646987,1.395380671,0.02437394,5.476955536,0.02437394,5.518083332
0.02,-0.028555302,0.034862684,3.508463119,0.025,-0.028725436,0.038080955,2.47216263,,,,,0.035,-0.029365705,0.045687963,1.378295894,0.024577184,5.478291311,0.024577184,5.525069966
0.02,-0.028582483,0.034884948,3.497228043,0.025,-0.028764698,0.038110535,2.441891391,,,,,0.035,-0.029429128,0.045728928,1.360965398,0.024780064,5.475524951,0.024780064,5.524443105
0.02,-0.028609664,0.034907246,3.486972416,0.025,-0.02880396,0.038140169,2.402972933,,,,,0.035,-0.02949255,0.045769744,1.339855014,0.024983401,5.458277659,0.024983401,5.510538042
0.02,-0.028636846,0.034929544,3.479636812,0.025,-0.028843221,0.038169909,2.374440781,,,,,0.035,-0.029555973,0.045810559,1.318706059,0.025186407,5.40875953,0.02518637,5.496935551
0.02,-0.028664027,0.034951842,3.472683868,0.025,-0.028882483,0.038199597,2.337507345,,,,,0.035,-0.029619396,0.045851374,1.297488482,0.025389516,5.345287177,0.025389516,5.484242313
0.02,-0.028691208,0.03497414,3.465730923,0.025,-0.028921745,0.038229283,2.300883427,,,,,0.035,-0.029682819,0.045892189,1.276154226,0.025592681,5.298453564,0.025592547,5.50018893
0.02,-0.028718389,0.034996437,3.458777979,0.025,-0.028961007,0.038258968,2.264259508,,,,,0.035,-0.029746242,0.045933096,1.22422124,0.025795635,5.246213907,0.025795635,5.481448608
0.02,-0.02874557,0.035018735,3.451825035,0.025,-0.029000268,0.038288654,2.22763559,,,,,0.035,-0.029809664,0.045974201,1.189786729,0.025998778,5.257345955,0.025998778,5.448565461
0.02,-0.028772752,0.035041033,3.443445764,0.025,-0.02903953,0.038318388,2.178264952,,,,,0.035,-0.029873087,0.046015387,1.168067538,0.02620192,5.227943178,0.02620192,5.423726114
0.02,-0.028799933,0.035063331,3.433190137,0.025,-0.029078792,0.03834822,2.124095381,,,,,0.035,-0.02993651,0.046056568,1.146291243,0.026405036,5.219435509,0.026405034,5.371444734
0.02,-0.028827114,0.035085665,3.425854734,0.025,-0.029118054,0.038378019,2.0782168,,,,,0.035,-0.029999933,0.046097754,1.125708988,0.026608108,5.203174254,0.026608131,5.167286906
0.02,-0.028854295,0.035108021,3.419006158,0.025,-0.029157315,0.03840781,2.03428236,,,,,0.035,-0.030063356,0.046139111,1.104505796,0.026811212,5.177257576,0.026811229,5.012487713
0.02,-0.028881477,0.03513038,3.419480122,0.025,-0.029196577,0.038437601,1.99034792,,,,,0.035,-0.030126779,0.046180485,1.081695897,0.027014374,5.195609435,0.027014339,4.836593204
